Platform;Played;Name;OpenCritic;Genre;Multiplayer;Source
PS4/PS5; ;Hood: Outlaws & Legends;66;Action;Online;ESSENTIAL
PS4; ;King Oddball;66;Puzzle;Online;ESSENTIAL
PS4; ;Monster Energy Supercross - The Official Videogame;66;Sports;Online;ESSENTIAL
PS4; ;Neon Chrome;66;Shooter;Local;ESSENTIAL
PS4; ;Switch Galaxy Ultra;66;Racing;Online;ESSENTIAL
PS4; ;Claire;65;Horror;Online;ESSENTIAL
PS4;X;Color Guardians;65;Platformer;Online;ESSENTIAL
PS4; ;Dungeon Punks;65;Platformer;Online;ESSENTIAL
PS4;X;Foul Play;65;Action;Both;ESSENTIAL
PS4; ;Hyper Void;65;Arcade;Online;ESSENTIAL
PS4;X;Naruto to Boruto: Shinobi Strikers;64;Action;Online;ESSENTIAL
PS4; ;Rocketbirds 2: Evolution;64;Platfortmer;Both;ESSENTIAL
PS4; ;WE ARE DOOMED;64;Arcade;Online;ESSENTIAL
PS4; ;Kung Fu Panda: Showdown of Legendary Legends;63;Fighting;Local;ESSENTIAL
PS4; ;Tiny Troopers Joint Ops;63;Action;Online;ESSENTIAL
PS4;X;Game of Thrones;62;Interactive Story;Online;ESSENTIAL
PS4; ;TorqueL;62;Puzzle;Online;ESSENTIAL
PS4; ;Friday the 13th: The Game;61;Horror;Online;ESSENTIAL
PS4/VR; ;Here they Lie;61;Horror;Online;ESSENTIAL
PS4; ;Need for Speed Payback;61;Racing;Online;ESSENTIAL
PS4;X;Goat Simulator;60;Arcade;Local;ESSENTIAL
PS4; ;Pumped BMX+;60;Sports;Online;ESSENTIAL
PS4;i;Mass Effect Legendary Edition;87;RPG;Online;ESSENTIAL
PS4;X;SOMA;83;Horror;Online;ESSENTIAL
PS4; ;Uncanny Valley;59;Horror;Online;ESSENTIAL
PS4; ;WWE 2K Battlegrounds;59;Fighting;Both;ESSENTIAL
PS4; ;Hatoful Boyfriend;58;Simulation;Online;ESSENTIAL
PS4; ;SONIC FORCES;58;Platformer;Online;ESSENTIAL
PS4; ;Predator: Hunting Grounds;57;Shooter;Online;ESSENTIAL
PS4;X;Drawn to Death;55;Shooter;Online;ESSENTIAL
PS4; ;Mighty No. 9;53;Platformer;Online;ESSENTIAL
PS4; ;Q*Bert Rebooted;48;Arcade;Online;ESSENTIAL
PS4/PS5; ;First Class Trouble;34;Arcase;Online;ESSENTIAL
PS4/PS5; ;Hunter's Arena: Legends;64;Action;Online;ESSENTIAL
PS4; ;In Space We Brawl;44;Action;Local;ESSENTIAL
PS4; ;Letter Quest Remastered;90;Arcade;Online;ESSENTIAL
PS4; ;Space Overlords;10;Action;Local;ESSENTIAL
PS4/PS5; ;The Quarry;79;Interactive Story;Both;EXTRA
PS4/PS5; ;Divine Knockout: Founder's Edition;74;Fighting;Online;ESSENTIAL
PS4/PS5;X;Assassin�s Creed Valhalla;85;RPG;Online;NL
PS4/PS5; ;R�ki;78;Adventure;Online;EXTRA
PS4; ;Lego Harry Potter Collection;74;Adventure;Local;ESSENTIAL
PS4/PS5;X;Greedfall;74;RPG;Online;ESSENTIAL
PS4/PS4; ;Heavenly Bodies;73;Arcada;Local;ESSENTIAL
PS5; ;The Medium;75;Horror;Online;EXTRA
PS4/PS5; ;Axiom Verge 2;78;Platformer;Online;ESSENTIAL
PS4;X;Mafia III: Definitive Edition;64;Action;Online;ESSENTIAL
PS4/PS5; ;Eldest Souls;74;Action;Online;EXTRA
PS4/PS5; ;The Dark Pictures Anthology: House of Ashes;73;Interactive Story;Online;EXTRA
PS5; ;Gotham Knights;68;Action;Online;EXTRA
PS4; ;Dead Island Definitive Edition;66;Action;Online;EXTRA
PS4;X;The Crew;62;Racing;Online;EXTRA
PS4/PS5; ;OlliOlliWorld;86;Arcade;Online;ESSENTIAL
PS4; ;Gungrave G.O.R.E.;59;Action;Online;EXTRA
PS4; ;Goosebumps: The Game;87;Horror;Online;EXTRA
PS4/PS5;i;Diablo IV;90;RPG;Both;BOUGHT
PS4/PS5; ;Destiny 2: Beyond Light;84;Shooter;Online;ESSENTIAL
